Instrument group,Instrument,code,mode,unit,Mahidol,Government,Private
Spectrometer,Raman microscope,SM10-1A,"Raman microscope - single spectrum, mapping 
(Instrument use)",hour,300,400,600
Spectrometer,Raman microscope,SM10-2A,Raman microscope - temperature control (Instrument use),hour,550,700,"1,100"
Spectrometer,Raman microscope,SM10-1D,"Raman microscope - single spectrum, mapping (Test)",hour,450,600,900
Spectrometer,Raman microscope,SM10-2D,Raman microscope - temperature control (Test),hour,850,"1,100","1,700"
Spectrometer,Spectrofluorometer,SM11-1A,Spectrofluorometer (Instrument use),hour,75,100,150
Surface analysis instrument,Optical contact angle : OCA,SF01-1A,OCA (Instrument use),hour,100,150,200
Surface analysis instrument,Optical contact angle : OCA,SF01-1B,OCA (Program analysis),hour,50,75,100
Surface analysis instrument,Optical contact angle : OCA,SF01-1C,OCA (Test and analysis),sample,400,500,800
Surface analysis instrument,Optical contact angle : OCA,SF01-1D,OCA (Test),sample,300,400,600
Surface analysis instrument,Tensiometer,SF02-1A,Tensiometer (Instrument use),hour,100,150,200
Surface analysis instrument,Tensiometer,SF02-1B,Tensiometer (Program analysis),hour,50,75,100
Surface analysis instrument,Tensiometer,SF02-1C,Tensiometer (Test and analysis),sample,400,500,800
Surface analysis instrument,Tensiometer,SF02-1D,Tensiometer (Test),sample,300,400,600
Thermal analysis instrument,Simultaneous thermal analyzer : STA,TM01-1A,Automated-STA (Instrument use),hour,350,450,700
Thermal analysis instrument,Simultaneous thermal analyzer : STA,TM01-2A,STA (Instrument use),hour,300,400,600
Thermal analysis instrument,Simultaneous thermal analyzer : STA,TM01-1B,Automated-STA (Program analysis),hour,200,250,400
Thermal analysis instrument,Simultaneous thermal analyzer : STA,TM01-2B,STA (Program analysis),hour,150,200,300
Thermal analysis instrument,Simultaneous thermal analyzer : STA,TM01-1C,Automated-STA (Test and analysis),hour,500,650,"1,000"
Thermal analysis instrument,Simultaneous thermal analyzer : STA,TM01-2C,STA (Test and analysis),hour,450,600,900
Thermal analysis instrument,Differential scanning calorimeter : DSC,TM02-1A,DSC - medium pressure sample (Instrument use),hour,"1,250","1,350","1,500"
Thermal analysis instrument,Differential scanning calorimeter : DSC,TM02-2A,"DSC - medium pressure sample
(Instrument use with user crucible)",hour,250,350,500
Thermal analysis instrument,Differential scanning calorimeter : DSC,TM02-3A,DSC - standard sample (Instrument use),hour,500,650,"1,000"
Thermal analysis instrument,Differential scanning calorimeter : DSC,TM02-4A,DSC - standard sample (Instrument use with user crucible),hour,250,350,500
Thermal analysis instrument,Differential scanning calorimeter : DSC,TM02-1B,DSC (Program analysis),hour,150,200,300
Thermal analysis instrument,Differential scanning calorimeter : DSC,TM02-1C,DSC - high pressure sample (Test and analysis),hour,"1,400","1,750","2,800"
Thermal analysis instrument,Differential scanning calorimeter : DSC,TM02-2C,"DSC - high pressure sample 
(Test and analysis with user crucible)",hour,400,600,"1,050"
Thermal analysis instrument,Differential scanning calorimeter : DSC,TM02-3C,DSC - standard sample (Test and analysis),hour,650,850,"1,300"
Thermal analysis instrument,Differential scanning calorimeter : DSC,TM02-4C,DSC - standard sample (Test and analysis with user crucible),hour,400,600,"1,050"
Water purification system,"Type l (LC-MS grade, resistivity 18.2 M??cm)",WP01-1D,"Type l (LC-MS grade, resistivity 18.2 M??cm)",litre,150,200,300
Water purification system,Type l (Resistivity 18.2 M??cm),WP01-2D,Type l (Resistivity 18.2 M??cm),litre,60,80,120
Water purification system,Type ll (Resistivity > 5 M??cm),WP01-3D,Type ll (Resistivity > 5 M??cm),litre,30,40,60
Water purification system,Type III (RO water),WP01-4D,Type III (RO water),litre,5,10,15
X-ray-based instrument,Nanoscale X-ray computed tomograph : Nano-CT,XR01-1A,Nano-CT (Instrument use),hour,"2,350","2,900","4,700"
X-ray-based instrument,Nanoscale X-ray computed tomograph : Nano-CT,XR01-1B,Nano-CT (Program analysis),hour,600,750,"1,200"
X-ray-based instrument,X-ray diffractometer : XRD,XR02-1A,"Benchtop-XRD - phase identification, phase analysis 
(Instrument use)",hour,200,250,400
X-ray-based instrument,X-ray diffractometer : XRD,XR02-2A,"XRD - phase identification, phase analysis (Instrument use)",hour,600,750,"1,200"
X-ray-based instrument,X-ray diffractometer : XRD,XR02-3A,"XRD - temperature control, X-ray reflectivity, 
grazing incidence diffraction, texture and pole figures 
(Instrument use)",hour,"1,200","1,500","2,400"
X-ray-based instrument,X-ray diffractometer : XRD,XR02-1B,Benchtop-XRD (Program analysis),hour,100,150,200
X-ray-based instrument,X-ray diffractometer : XRD,XR02-1C,"Benchtop-XRD - phase identification, phase analysis 
(Test and analysis)",hour,450,600,900
X-ray-based instrument,X-ray diffractometer : XRD,XR02-2C,"XRD - phase identification, phase analysis 
(Test and analysis)",hour,"1,350","1,750","2,700"
X-ray-based instrument,X-ray diffractometer : XRD,XR02-1D,"Benchtop-XRD - phase identification, phase analysis (Test)",hour,300,400,600
X-ray-based instrument,X-ray diffractometer : XRD,XR02-2D,"XRD - phase identification, phase analysis (Test)",hour,900,"1,150","1,800"
X-ray-based instrument,X-ray diffractometer : XRD,XR02-3D,"XRD - temperature control, X-ray reflectivity, 
grazing incidence diffraction, texture and pole figures (Test)",hour,"1,800","2,250","3,600"
X-ray-based instrument,X-ray fluorescence : XRF,XR04-1A,"Micro-XRF - point measurement, mapping (Instrument use)",hour,450,600,900
X-ray-based instrument,X-ray fluorescence : XRF,XR04-2A,WDXRF (Instrument use),sample,300,400,600
X-ray-based instrument,X-ray fluorescence : XRF,XR04-1B,Micro-XRF (Program analysis),hour,250,300,500
X-ray-based instrument,X-ray fluorescence : XRF,XR04-2B,WDXRF (Program analysis),hour,200,250,400
X-ray-based instrument,X-ray fluorescence : XRF,XR04-1D,"Micro-XRF - point measurement, mapping (Test)",hour,700,900,"1,400"
X-ray-based instrument,X-ray fluorescence : XRF,XR04-2D,WDXRF (Test),sample,600,750,"1,200"
Special tests,Special test 1,ST01-D,Special test 1,sample,100,150,200
Special tests,Special test 2,ST02-D,Special test 2,sample,200,250,400
Special tests,Special test 3,ST03-D,Special test 3,sample,500,650,"1,000"
Special tests,Special test 4,ST04-D,Special test 4,sample,"1,000","1,250","2,000"
Special tests,Special test 5,ST05-D,Special test 5,sample,"2,000","2,500","4,000"
Special tests,Special test 6,ST06-D,Special test 6,sample,"3,000","4,000","6,000"
Special tests,Special test 7,ST07-D,Special test 7,sample,"5,000","7,000","10,000"
Special tests,Special test 8,ST08-D,Special test 8,sample,"10,000","12,500","20,000"
None,None,None,None,None,None,None,None
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
